,kor,jp,cn,kd_exr
2001,7003500.628,42745624.27,1703325.757,1290.83
2002,7773957.474,47853618.12,2269844.681,1251.24
2003,9388453.522,45131718.47,2984647.3,1191.89
2004,11956003.3,48115557.15,4034311.737,1144.67
2005,11029340.74,52035824.34,5096242.207,1024.31
2006,11463135.59,60766631.39,6216978.478,955.51
2007,11173723.41,60093066.17,7273786.056,929.2
2008,10352484.2,56134842.05,7613820.966,1102.59
2009,7743810.895,34572642.95,5904739.646,1276.4
2010,10019533.83,45084825,8276765.558,1156.26
2011,12830672.11,45033359.57,9963852.891,1108.11
2012,15249174.3,54788228.81,10421719.8,1126.88
2013,17455526.45,53839817.63,10836286.92,1095.04
2014,20592771.43,51635803.32,13686650.83,1053.22
2015,23523989.75,52899535.72,15658478.28,1131.49
2016,22128873.8,55224471.5,15657350.63,1160.5
2017,21557979.08,55917198.8,16808524.64,1130.84
2018,19657169.02,56838860.39,20271284.24,1100.3
2019,22342556.24,54340701.78,16319791.79,1165.65
2020,21539473.89,43739151.12,14505808.55,1180.05
